iter	TotalF1	MultiClass
788	0.99071026	0.1123364262
789	0.9904926453	0.112194443
790	0.9904926453	0.1120694367
791	0.99071026	0.1119042776
792	0.99071026	0.111738047
793	0.9904926453	0.1114560714
794	0.99071026	0.1113614964
795	0.9904926453	0.1112309507
796	0.9904926453	0.1111069284
797	0.9904926453	0.1107978974
798	0.99071026	0.1106232624
799	0.99071026	0.1105345543
800	0.99071026	0.1104480229
801	0.99071026	0.1102829074
802	0.9911452684	0.1101499044
803	0.9911452684	0.1099568926
804	0.9911452684	0.109765502
805	0.9913626624	0.1095009094
806	0.9911452684	0.1093323049
807	0.9909278009	0.1092155982
808	0.9909278009	0.1091932154
809	0.9911452684	0.109076938
810	0.9911452684	0.1088561763
811	0.9915799832	0.1086934443
812	0.9917972309	0.1086253525
813	0.9920144057	0.1083993623
814	0.9920144057	0.1082596042
815	0.9920144057	0.1081404367
816	0.9920144057	0.1080136376
817	0.9920144057	0.1077613351
818	0.9920144057	0.1076929042
819	0.9920144057	0.107565607
820	0.9922315078	0.1073654302
821	0.9922315078	0.1071127988
822	0.9922315078	0.1070218913
823	0.9924485372	0.1068804472
824	0.9922315078	0.1067236182
825	0.9924485372	0.1065590204
826	0.9926654941	0.1065042474
827	0.9928823788	0.1063508454
828	0.9935326004	0.1061550208
829	0.9933159317	0.1060534
830	0.9935326004	0.1057993591
831	0.9935326004	0.1055898032
832	0.9937491973	0.1054281888
833	0.9937491973	0.1052824312
834	0.9935326004	0.1050866601
835	0.9935326004	0.1049096053
836	0.9937491973	0.104788996
837	0.9937491973	0.1047246906
838	0.9937491973	0.1046786367
839	0.9937491973	0.1045374757
840	0.9937491973	0.1044741895
841	0.9937491973	0.1043882198
842	0.9935326004	0.1042356309
843	0.9935326004	0.1041686398
844	0.9935326004	0.1039348425
845	0.9935326004	0.1038439639
846	0.9935326004	0.1037566652
847	0.9935326004	0.1035777397
848	0.9935326004	0.103507032
849	0.9935326004	0.1034578689
850	0.9937491973	0.103246608
851	0.9935326004	0.1030594867
852	0.9935326004	0.1029449061
853	0.9935326004	0.1028314041
854	0.9937491973	0.1026712218
855	0.9937491973	0.1024784511
856	0.9939657227	0.1022569105
857	0.9941821767	0.1021241417
858	0.9941821767	0.1019140243
859	0.9941821767	0.1018085036
860	0.9941821767	0.1017223496
861	0.9941821767	0.1016780982
862	0.9941821767	0.1016259362
863	0.9943985595	0.1014974617
864	0.9943985595	0.1013732078
865	0.9943985595	0.1011590166
866	0.9943985595	0.1010377875
867	0.9943985595	0.100853765
868	0.9943985595	0.1007711504
869	0.9943985595	0.1005761106
870	0.9943985595	0.1003845929
871	0.9941821767	0.1003127175
872	0.9941821767	0.1002145406
873	0.9941821767	0.1000337399
874	0.9941821767	0.09995092461
875	0.9941821767	0.09971247664
876	0.9943985595	0.09947601378
877	0.9943985595	0.09929922435
878	0.9941821767	0.09920311879
